"","x","y","bp","dist"
"381",-48.6066,-1.8896,122,1783.73898130766
"382",-52.2464,-4.7161,101,1273.56556195055
"383",-35.02,-8,183,2974.89869216472
"384",-52.3214,-23.5486,154,1728.24081470082
"385",-53.383,-29.824,140,2270.40081302758
"386",-48.7254,-1.539,89,1795.41034759707
"387",-53.55,-29.689,129,2250.05620630542
"388",-53.33,-23.667,103,1678.02408343608
"389",-54.8278,-16.5167,93,986.176679739005
"390",-52.2,-29.17,69,2257.34126521573
"391",-54.4591,-25.1973,105,1763.66699929947
"392",-54.2646,-24.0764,95,1665.00902683276
